72,-46
54,-33
-685,416
-42,26
-96,58
10,-6
-721,428
-80,47
-373,219
-157,92
1129,-629
53,-35
80,-57
8,-8
-16,-26
-32,18
-194,100
-107,55
1358,-815
32,-11
49,-16
-9,7
203,-103
8,-4
-27,13
-34,16
529,-295
15,-6
24,-11
1,-1
-69,24
-32,15
-231,109
-145,68
1904,-982
70,-28
137,-54
-19,11
923,-427
88,-41
352,-165
126,-60
-537,178
-48,29
-82,57
-13,10
-107,86
4,-2
-17,13
-17,9
52,15
21,-12
36,-19
0,0
93,-40
4,-2
-18,7
-23,9
290,-113
16,-7
22,-9
-1,0
-92,35
-29,11
-247,92
-166,62
2001,-737
112,-41
234,-85
-20,7
1509,-535
155,-55
669,-233
260,-90
-1881,643
-58,20
-56,18
3,-2
156,-55
34,-11
227,-73
117,-38
-1027,315
-46,14
-67,21
3,-2
-154,46
-4,1
20,-6
22,-7
-248,71
-11,3
-13,4
0,0
39,-9
12,-3
83,-22
47,-12
-545,153
-18,4
-31,5
6,-1
-181,43
-15,4
-59,15
-21,6
-46,46
22,-10
56,-27
14,-7
131,-63
-2,1
22,-10
11,-5
201,-93
-17,8
-25,12
